"ID","Type","Name","Documentation","Source","Target","Specialization"
"10904","AccessRelationship","","","10845","10796",""
"10960","AccessRelationship","","","10825","10804",""
"10959","AccessRelationship","","","10825","10805",""
"14575","AccessRelationship","","","10835","10799",""
"10957","AccessRelationship","","","10827","10801",""
"6206","AccessRelationship","","","6177","6194",""
"6209","AccessRelationship","","","6184","6195",""
"14127","AccessRelationship","","","10784","14074",""
"6591","AccessRelationship","","","6176","6564",""
"10929","AccessRelationship","","","10812","10794",""
"6211","AccessRelationship","","","6176","6194",""
"14042","AccessRelationship","","","13874","14025",""
"6593","AccessRelationship","","","6186","6565",""
"10928","AccessRelationship","","","10812","10797",""
"6207","AccessRelationship","","","6176","6192",""
"14582","AccessRelationship","","","10827","14539",""
"18168","AccessRelationship","","","17691","14072",""
"14509","AccessRelationship","","","12914","10796",""
"14512","AccessRelationship","","","12917","10800",""
"14510","AccessRelationship","","","12916","10800",""
"14293","AccessRelationship","","","14162","14288",""
"14508","AccessRelationship","","","12913","10794",""
"16293","AggregationRelationship","","","14440","8660",""
"16274","AggregationRelationship","","","14440","14543",""
"16273","AggregationRelationship","","","14440","12926",""
"16332","AggregationRelationship","","","16323","14396",""
"16333","AggregationRelationship","","","16323","14390",""
"16276","AggregationRelationship","","","14441","12927",""
"8626","AggregationRelationship","","","8507","8618",""
"8716","AggregationRelationship","","","8713","8714",""
"8664","AggregationRelationship","","","8506","8659",""
"8628","AggregationRelationship","","","8507","8624",""
"8663","AggregationRelationship","","","8507","8659",""
"8665","AggregationRelationship","","","8507","8660",""
"8715","AggregationRelationship","","","8713","8532",""
"16275","AggregationRelationship","","","14441","10859",""
"8696","AggregationRelationship","","","8507","8689",""
"16271","AggregationRelationship","","","14440","8618",""
"16272","AggregationRelationship","","","14441","14484",""
"9662","AggregationRelationship","","","9368","6174",""
"9664","AggregationRelationship","","","9368","6178",""
"17604","AggregationRelationship","","","17602","17600",""
"9640","AggregationRelationship","","","9369","6183",""
"9638","AggregationRelationship","","","9369","6182",""
"9659","AggregationRelationship","","","9444","9368",""
"8006","AggregationRelationship","","","7941","7944",""
"9668","AggregationRelationship","","","9368","6175",""
"8010","AggregationRelationship","","","7942","7947",""
"8009","AggregationRelationship","","","7943","7948",""
"9642","AggregationRelationship","","","9369","6185",""
"14027","AggregationRelationship","","","14025","14026",""
"9661","AggregationRelationship","","","9368","6172",""
"17605","AggregationRelationship","","","17602","17601",""
"8008","AggregationRelationship","","","7940","7943",""
"9643","AggregationRelationship","","","9369","6186",""
"9660","AggregationRelationship","","","9368","6173",""
"9656","AggregationRelationship","","","9444","6189",""
"9641","AggregationRelationship","","","9369","6184",""
"8007","AggregationRelationship","","","7944","7949",""
"9657","AggregationRelationship","","","9444","6188",""
"9663","AggregationRelationship","","","9368","6177",""
"9639","AggregationRelationship","","","9369","6181",""
"9665","AggregationRelationship","","","9368","6179",""
"9666","AggregationRelationship","","","9368","6176",""
"9667","AggregationRelationship","","","9368","6180",""
"9658","AggregationRelationship","","","9444","6187",""
"8004","AggregationRelationship","","","7992","7997",""
"19511","AggregationRelationship","","","19509","10685",""
"8005","AggregationRelationship","","","7991","7996",""
"8002","AggregationRelationship","","","7994","7999",""
"19473","AggregationRelationship","","","19471","10685",""
"8003","AggregationRelationship","","","7993","7998",""
"8001","AggregationRelationship","","","7995","8000",""
"19472","AggregationRelationship","","","19471","8618",""
"19510","AggregationRelationship","","","19509","14481",""
"8263","AggregationRelationship","","","10222","8257",""
"7229","AggregationRelationship","","","7104","7226",""
"9866","AggregationRelationship","","","8454","8486",""
"8406","AggregationRelationship","","","8207","8404",""
"17860","AggregationRelationship","","","17819","17821",""
"17861","AggregationRelationship","","","17819","17820",""
"7131","AggregationRelationship","","","7104","7129",""
"8382","AggregationRelationship","","","8207","7149",""
"9867","AggregationRelationship","","","8454","8378",""
"9775","AggregationRelationship","","","8405","8238",""
"17823","AggregationRelationship","","","17805","17806",""
"8407","AggregationRelationship","","","8207","8238",""
"18143","AssignmentRelationship","","","18071","17890",""
"10970","AssignmentRelationship","","","10773","10847",""
"7419","AssignmentRelationship","","","7427","7408",""
"7417","AssignmentRelationship","","","7426","7407",""
"7745","AssignmentRelationship","","","7426","7749",""
"14562","AssignmentRelationship","","","10778","14543",""
"10919","AssignmentRelationship","","","10778","10861",""
"10969","AssignmentRelationship","","","10773","8659",""
"10956","AssignmentRelationship","","","10766","10823",""
"18146","AssignmentRelationship","","","18118","17691",""
"7744","AssignmentRelationship","","","7428","7748",""
"12935","AssignmentRelationship","","","10766","8660",""
"10973","AssignmentRelationship","","","10996","10812",""
"7800","AssignmentRelationship","","","7429","7801",""
"10971","AssignmentRelationship","","","10773","10831",""
"18272","AssignmentRelationship","","","18224","18190",""
"10974","AssignmentRelationship","","","10996","10835",""
"10968","AssignmentRelationship","","","10773","10833",""
"7418","AssignmentRelationship","","","7429","7409",""
"10991","AssignmentRelationship","","","10996","10819",""
"10972","AssignmentRelationship","","","10773","10832",""
"10981","AssignmentRelationship","","","10995","10851",""
"7743","AssignmentRelationship","","","7427","7747",""
"7742","AssignmentRelationship","","","7425","7746",""
"18273","AssignmentRelationship","","","18072","18191",""
"18271","AssignmentRelationship","","","18223","18189",""
"18144","AssignmentRelationship","","","18072","17892",""
"12932","AssignmentRelationship","","","10778","12927",""
"18145","AssignmentRelationship","","","18119","17915",""
"18147","AssignmentRelationship","","","18117","10842",""
"19467","AssignmentRelationship","","","10762","10833",""
"16590","AssignmentRelationship","","","10669","14538",""
"14518","AssignmentRelationship","","","14483","14535",""
"16589","AssignmentRelationship","","","10681","10789",""
"16628","AssignmentRelationship","","","10674","13874",""
"16615","AssignmentRelationship","","","10673","10784",""
"16636","AssignmentRelationship","","","16517","10784",""
"16606","AssignmentRelationship","","","10670","10784",""
"16616","AssignmentRelationship","","","10672","10785",""
"14517","AssignmentRelationship","","","14482","14534",""
"16614","AssignmentRelationship","","","10682","10784",""
"16592","AssignmentRelationship","","","10671","10791",""
"16591","AssignmentRelationship","","","10670","10791",""
"6864","AssignmentRelationship","","","6846","6856",""
"a12e2212","AssociationRelationship","","","6834","6836",""
"53b5e7c3","AssociationRelationship","","","6834","6846",""
"8538","AssociationRelationship","","","8545","8506",""
"8537","AssociationRelationship","","","8505","8545",""
"8539","AssociationRelationship","","","8506","8546",""
"8540","AssociationRelationship","","","8546","8507",""
"17449","AssociationRelationship","","","12927","14488",""
"14342","AssociationRelationship","","","10785","13816",""
"10944","AssociationRelationship","","","11009","10804",""
"18581","AssociationRelationship","","","18524","18478",""
"18580","AssociationRelationship","","","18476","18477",""
"14343","AssociationRelationship","","","13874","13815",""
"18483","AssociationRelationship","","","6192","6565",""
"18582","AssociationRelationship","","","18479","18481",""
"8086","AssociationRelationship","","","7948","7947",""
"14586","AssociationRelationship","","","12927","14488",""
"14090","AssociationRelationship","","","14084","14074",""
"14089","AssociationRelationship","","","14085","14074",""
"8084","AssociationRelationship","","","7949","7948",""
"18697","AssociationRelationship","","","18616","18646",""
"17603","AssociationRelationship","","","17600","17601",""
"8087","AssociationRelationship","","","7947","7946",""
"17641","AssociationRelationship","","","17598","17602",""
"14088","AssociationRelationship","","","13806","14074",""
"8085","AssociationRelationship","","","7944","7943",""
"14091","AssociationRelationship","","","14083","14074",""
"8077","AssociationRelationship","","","8000","7999",""
"8082","AssociationRelationship","","","7993","7992",""
"8083","AssociationRelationship","","","7994","7993",""
"14520","AssociationRelationship","","","12913","14483",""
"8079","AssociationRelationship","","","7998","7997",""
"14224","AssociationRelationship","","","14162","14177",""
"14310","AssociationRelationship","","","14288","14025",""
"8076","AssociationRelationship","","","7995","7994",""
"14515","AssociationRelationship","","","12913","14482",""
"14521","AssociationRelationship","","","14483","10683",""
"8078","AssociationRelationship","","","7999","7998",""
"14164","AssociationRelationship","","","14162","10674",""
"14516","AssociationRelationship","","","12914","14482",""
"8080","AssociationRelationship","","","7997","7996",""
"8081","AssociationRelationship","","","7992","7991",""
"14311","AssociationRelationship","","","14288","14074",""
"8235","AssociationRelationship","","","8207","8228",""
"8366","AssociationRelationship","","","8359","7257",""
"7106","AssociationRelationship","","","7101","7103",""
"8213","AssociationRelationship","","","8207","7103",""
"8241","AssociationRelationship","","","8359","8239",""
"10184","AssociationRelationship","","","8359","10222",""
"8410","AssociationRelationship","","","8216","8404",""
"17824","AssociationRelationship","","","7257","17817",""
"8412","AssociationRelationship","","","8404","7225",""
"17864","AssociationRelationship","","","17805","17817",""
"17857","AssociationRelationship","","","17788","17817",""
"7107","AssociationRelationship","","","7101","7104",""
"9748","AssociationRelationship","","","7103","8405",""
"17822","AssociationRelationship","","","7257","17805",""
"7132","AssociationRelationship","","","7129","7130",""
"17859","AssociationRelationship","","","17817","17819",""
"8439","AssociationRelationship","","","8405","8437",""
"17858","AssociationRelationship","","","17821","17817",""
"17865","AssociationRelationship","","","17806","17819",""
"9749","AssociationRelationship","","","7104","8405",""
"17863","AssociationRelationship","","","17818","17817",""
"8455","AssociationRelationship","","","8365","8239",""
"8408","AssociationRelationship","","","7148","8238",""
"8264","AssociationRelationship","","","8257","8259",""
"8379","AssociationRelationship","","","8239","8377",""
"10223","AssociationRelationship","","","7101","8359",""
"10252","AssociationRelationship","","","9806","10222",""
"7174","AssociationRelationship","","","7149","7163",""
"7259","AssociationRelationship","","","7104","7257",""
"17862","AssociationRelationship","","","17788","17818",""
"7150","AssociationRelationship","","","7130","7148",""
"10164","AssociationRelationship","","","7149","8132",""
"8440","AssociationRelationship","","","8257","8365",""
"10287","AssociationRelationship","","","8207","8437",""
"9807","AssociationRelationship","","","7149","9806",""
"7416","CompositionRelationship","","","7428","7429",""
"10948","CompositionRelationship","","","10800","10803",""
"10903","CompositionRelationship","","","10794","10798",""
"16643","CompositionRelationship","","","14148","16642",""
"7415","CompositionRelationship","","","7424","7425",""
"7414","CompositionRelationship","","","7424","7428",""
"16650","CompositionRelationship","","","14148","16649",""
"7411","CompositionRelationship","","","7423","7424",""
"18527","CompositionRelationship","","","18477","18524",""
"10920","CompositionRelationship","","","10798","10799",""
"7413","CompositionRelationship","","","7424","7427",""
"18232","CompositionRelationship","","","18190","18227",""
"7412","CompositionRelationship","","","7425","7426",""
"17606","CompositionRelationship","","","17598","17592",""
"7392","CompositionRelationship","","","7372","7375",""
"7398","CompositionRelationship","","","7375","7381",""
"17639","CompositionRelationship","","","10674","17634",""
"7391","CompositionRelationship","","","7372","7374",""
"14513","CompositionRelationship","","","8618","12913",""
"7402","CompositionRelationship","","","7376","7385",""
"7403","CompositionRelationship","","","7376","7386",""
"7401","CompositionRelationship","","","7375","7384",""
"7399","CompositionRelationship","","","7375","7382",""
"6167","CompositionRelationship","","","6143","6145",""
"14514","CompositionRelationship","","","8618","12914",""
"7400","CompositionRelationship","","","7375","7383",""
"7404","CompositionRelationship","","","7376","7387",""
"17710","CompositionRelationship","","","10674","17708",""
"6614","CompositionRelationship","","","6611","6613",""
"7390","CompositionRelationship","","","7372","7373",""
"7405","CompositionRelationship","","","7374","7388",""
"7396","CompositionRelationship","","","7373","7379",""
"7406","CompositionRelationship","","","7374","7389",""
"7394","CompositionRelationship","","","7373","7377",""
"7395","CompositionRelationship","","","7373","7378",""
"7397","CompositionRelationship","","","7375","7380",""
"7393","CompositionRelationship","","","7372","7376",""
"6867","CompositionRelationship","","","6843","6838",""
"6870","CompositionRelationship","","","6840","6838",""
"6874","CompositionRelationship","","","6846","6849",""
"6866","CompositionRelationship","","","6836","6843",""
"6865","CompositionRelationship","","","6836","6840",""
"6871","CompositionRelationship","","","6840","6839",""
"6872","CompositionRelationship","","","6840","6842",""
"6869","CompositionRelationship","","","6843","6845",""
"6873","CompositionRelationship","","","6846","6848",""
"6868","CompositionRelationship","","","6843","6839",""
"18053","FlowRelationship","","","18019","18020",""
"10977","FlowRelationship","","","10847","10823",""
"6739","FlowRelationship","","","6650","6649",""
"10979","FlowRelationship","","","8659","10847",""
"6198","FlowRelationship","","","6189","6184",""
"10978","FlowRelationship","","","10823","10847",""
"6737","FlowRelationship","","","6650","6652",""
"6740","FlowRelationship","","","6649","6651",""
"6799","FlowRelationship","","","6656","6655",""
"18052","FlowRelationship","","","18018","18020",""
"6741","FlowRelationship","","","6651","6653",""
"12938","FlowRelationship","","","8659","12927",""
"10990","FlowRelationship","","","10847","10819",""
"6745","FlowRelationship","","","6652","6656",""
"6738","FlowRelationship","","","6654","6652",""
"6203","FlowRelationship","","","6182","6184",""
"6200","FlowRelationship","","","6189","6182",""
"18054","FlowRelationship","","","18018","18019",""
"6748","FlowRelationship","","","6654","6656",""
"6743","FlowRelationship","","","6651","6652",""
"6744","FlowRelationship","","","6655","6652",""
"12939","FlowRelationship","","","8660","12927",""
"6742","FlowRelationship","","","6655","6651",""
"10751","FlowRelationship","","","10683","10685",""
"14500","FlowRelationship","","","10685","14481",""
"14501","FlowRelationship","","","14481","10685",""
"19379","FlowRelationship","","","14478","10685",""
"10739","FlowRelationship","","","10673","10685",""
"10748","FlowRelationship","","","10681","10685",""
"10740","FlowRelationship","","","10682","10685",""
"14507","FlowRelationship","","","14478","10685",""
"14502","FlowRelationship","","","14477","10685",""
"10744","FlowRelationship","","","10670","10685",""
"14505","FlowRelationship","","","10685","8618",""
"10742","FlowRelationship","","","10685","10682",""
"10736","FlowRelationship","","","10685","10672",""
"10745","FlowRelationship","","","10685","10669",""
"10737","FlowRelationship","","","10685","10673",""
"19378","FlowRelationship","","","8618","10685",""
"14523","FlowRelationship","","","10684","14478",""
"14524","FlowRelationship","","","14484","10685",""
"10741","FlowRelationship","","","10685","10680",""
"14503","FlowRelationship","","","10685","14477",""
"10754","FlowRelationship","","","10674","10685",""
"14525","FlowRelationship","","","10685","14484",""
"10738","FlowRelationship","","","10672","10685",""
"10756","FlowRelationship","","","10674","10684",""
"10749","FlowRelationship","","","10685","10681",""
"10753","FlowRelationship","","","10685","10674",""
"10757","FlowRelationship","","","10684","10674",""
"10743","FlowRelationship","","","10685","10670",""
"10755","FlowRelationship","","","10680","10685",""
"14504","FlowRelationship","","","8618","10685",""
"10752","FlowRelationship","","","10685","10683",""
"14522","FlowRelationship","","","14478","10684",""
"10747","FlowRelationship","","","10671","10685",""
"10750","FlowRelationship","","","10685","10671",""
"10746","FlowRelationship","","","10669","10685",""
"14506","FlowRelationship","","","10685","14478",""
"10868","FlowRelationship","Aggregate order","","10791","10784",""
"10867","FlowRelationship","Aggregate order info","","10784","10791",""
"14547","FlowRelationship","Bank statement","","10999","10793",""
"14546","FlowRelationship","Contract","","10790","10998",""
"10874","FlowRelationship","Contract","","10790","13806",""
"10863","FlowRelationship","Cust credit assessment","","10789","10790",""
"14554","FlowRelationship","Cust credit assessment","","10789","10790",""
"14553","FlowRelationship","Cust. credit analysis req","","10790","10789",""
"14559","FlowRelationship","Cust. credit profile","","10790","10791",""
"10866","FlowRelationship","Cust. exposure req","","10791","10790",""
"14555","FlowRelationship","Cust. exposure req","","10791","10790",""
"10870","FlowRelationship","Cust.credit analysis requirement","","10790","10789",""
"14550","FlowRelationship","Customer order","","10791","10784",""
"14549","FlowRelationship","Delivery confirmation","","10998","10792",""
"10864","FlowRelationship","Delivery confirmation","","13806","10792",""
"14548","FlowRelationship","Delivery notification","","10792","10998",""
"10865","FlowRelationship","Delivery notification","","10792","13806",""
"6750","FlowRelationship","Equipment & process specific data","","6657","6655",""
"6749","FlowRelationship","Equipment and process specific production rules","","6654","6657",""
"10884","FlowRelationship","Final products","","10787","10785",""
"10883","FlowRelationship","Final products","","10786","10785",""
"14573","FlowRelationship","Final products","","10786","10785",""
"14572","FlowRelationship","Final products","","10787","10785",""
"10872","FlowRelationship","GDN","","10792","10791",""
"14571","FlowRelationship","GDN","","10785","10784",""
"14567","FlowRelationship","GDN","","10792","10791",""
"10882","FlowRelationship","GDN","","10785","10787",""
"14560","FlowRelationship","GDN","","10785","10787",""
"10887","FlowRelationship","GDN","","10785","10784",""
"10873","FlowRelationship","Inquiry","","13806","10790",""
"14544","FlowRelationship","Inquiry","","10998","10790",""
"14568","FlowRelationship","Invoice","","10791","10793",""
"14563","FlowRelationship","Invoice","","10791","10998",""
"10876","FlowRelationship","Invoice","","10791","10793",""
"10880","FlowRelationship","Invoice","","10791","13806",""
"14557","FlowRelationship","New customer approved","","14538","10790",""
"14556","FlowRelationship","New customer assessment request","","10790","14538",""
"14545","FlowRelationship","Offer","","10791","10998",""
"10877","FlowRelationship","Offer","","10791","13806",""
"6747","FlowRelationship","Operational commands","","6656","6657",""
"6816","FlowRelationship","Operational responses","","6657","6656",""
"14558","FlowRelationship","Order","","10998","10791",""
"10878","FlowRelationship","Order","","13806","10791",""
"14565","FlowRelationship","Order assess.","","10790","10791",""
"10875","FlowRelationship","Order assessment","","10790","10791",""
"10879","FlowRelationship","Order info","","10791","13806",""
"14564","FlowRelationship","Order info","","10791","10998",""
"14569","FlowRelationship","Production order","","10784","10786",""
"10886","FlowRelationship","Production order","","10784","10786",""
"10881","FlowRelationship","Raw materials","","10785","10786",""
"14551","FlowRelationship","Raw materials","","10788","10786",""
"10869","FlowRelationship","Raw materials","","10788","10786",""
"14552","FlowRelationship","Raw materials","","10787","10786",""
"14566","FlowRelationship","Shipping order","","10791","10792",""
"14570","FlowRelationship","Shipping order","","10784","10785",""
"10871","FlowRelationship","Shipping order","","10791","10792",""
"10885","FlowRelationship","Shipping order","","10784","10785",""
"6199","FlowRelationship","Standards and Customer Requirements","","6188","6182",""
"16362","RealizationRelationship","","","16329","12926",""
"16336","RealizationRelationship","","","16331","14484",""
"16360","RealizationRelationship","","","14396","8542",""
"8695","RealizationRelationship","","","8543","8689",""
"8625","RealizationRelationship","","","8542","8618",""
"8598","RealizationRelationship","","","8532","8599",""
"8662","RealizationRelationship","","","8611","8660",""
"8597","RealizationRelationship","","","8532","8543",""
"8661","RealizationRelationship","","","8611","8659",""
"8627","RealizationRelationship","","","8599","8624",""
"16363","RealizationRelationship","","","16329","14543",""
"8610","RealizationRelationship","","","8532","8611",""
"16374","RealizationRelationship","","","16330","12927",""
"8596","RealizationRelationship","","","8532","8542",""
"16334","RealizationRelationship","","","14390","16330",""
"16375","RealizationRelationship","","","16330","10859",""
"16361","RealizationRelationship","","","16329","8660",""
"16335","RealizationRelationship","","","14390","16331",""
"16359","RealizationRelationship","","","14396","16329",""
"10891","RealizationRelationship","","","10833","10860",""
"14249","RealizationRelationship","","","14148","14248",""
"10889","RealizationRelationship","","","10832","10858",""
"10989","RealizationRelationship","","","10819","10859",""
"12937","RealizationRelationship","","","12927","10859",""
"10890","RealizationRelationship","","","8659","10856",""
"10902","RealizationRelationship","","","11002","10796",""
"10888","RealizationRelationship","","","10831","10857",""
"10938","RealizationRelationship","","","11003","10804",""
"10914","RealizationRelationship","","","10851","10861",""
"8072","RealizationRelationship","","","7992","7946",""
"12920","RealizationRelationship","","","8618","10689",""
"14527","RealizationRelationship","","","14484","14488",""
"10715","RealizationRelationship","","","10670","10694",""
"18602","RealizationRelationship","","","10473","18524",""
"12921","RealizationRelationship","","","8618","10690",""
"12919","RealizationRelationship","","","8618","10688",""
"14511","RealizationRelationship","","","14534","14489",""
"10721","RealizationRelationship","","","10670","10697",""
"10702","RealizationRelationship","","","10669","10691",""
"14519","RealizationRelationship","","","14535","10689",""
"19483","RealizationRelationship","","","19471","10693",""
"10735","RealizationRelationship","","","10682","10700",""
"18577","RealizationRelationship","","","18518","18479",""
"10726","RealizationRelationship","","","10682","10699",""
"10758","RealizationRelationship","","","10685","10693",""
"18579","RealizationRelationship","","","18514","18476",""
"14237","RealizationRelationship","","","14236","14223",""
"10703","RealizationRelationship","","","10669","10688",""
"18578","RealizationRelationship","","","18516","18524",""
"14491","RealizationRelationship","","","8618","14487",""
"10759","RealizationRelationship","","","10685","10701",""
"14497","RealizationRelationship","","","14478","10686",""
"8074","RealizationRelationship","","","7994","7948",""
"10705","RealizationRelationship","","","10669","10689",""
"6624","RealizationRelationship","","","6611","6565",""
"18671","RealizationRelationship","","","18643","18646",""
"18603","RealizationRelationship","","","10478","18479",""
"18575","RealizationRelationship","","","18520","18481",""
"18601","RealizationRelationship","","","10474","18476",""
"18672","RealizationRelationship","","","18642","18616",""
"6168","RealizationRelationship","","","6143","6192",""
"10760","RealizationRelationship","","","10685","10686",""
"10712","RealizationRelationship","","","10670","10692",""
"18605","RealizationRelationship","","","10476","18478",""
"10706","RealizationRelationship","","","10669","10690",""
"18574","RealizationRelationship","","","18515","18477",""
"10718","RealizationRelationship","","","10685","10695",""
"10725","RealizationRelationship","","","10682","10698",""
"14526","RealizationRelationship","","","10685","14485",""
"14498","RealizationRelationship","","","14478","10701",""
"14490","RealizationRelationship","","","8618","14486",""
"14496","RealizationRelationship","","","8618","10692",""
"18576","RealizationRelationship","","","18517","18478",""
"8073","RealizationRelationship","","","7993","7947",""
"8075","RealizationRelationship","","","7995","7949",""
"10722","RealizationRelationship","","","10670","10696",""
"18604","RealizationRelationship","","","10475","18481",""
"19512","RealizationRelationship","","","19509","14485",""
"8071","RealizationRelationship","","","7991","7945",""
"10761","RealizationRelationship","","","10685","10687",""
"12922","RealizationRelationship","","","8618","10691",""
"6859","RealizationRelationship","","","6836","6853",""
"6863","RealizationRelationship","","","6856","6854",""
"6860","RealizationRelationship","","","6836","6852",""
"6858","RealizationRelationship","","","6836","6851",""
"8458","RealizationRelationship","","","8454","8377",""
"9864","RealizationRelationship","","","9862","8216",""
"10290","RealizationRelationship","","","8486","8437",""
"8459","RealizationRelationship","","","8453","8365",""
"8489","RealizationRelationship","","","8486","7148",""
"7197","RealizationRelationship","","","7196","7163",""
"8461","RealizationRelationship","","","8454","7225",""
"8460","RealizationRelationship","","","8378","7225",""
"9863","RealizationRelationship","","","9862","7225",""
"8457","RealizationRelationship","","","8454","8259",""
"8456","RealizationRelationship","","","8454","8365",""
"8488","RealizationRelationship","","","8487","7148",""
"9865","RealizationRelationship","","","8454","7148",""
"13300","RealizationRelationship","Realizes","","13263","13292",""
"13299","RealizationRelationship","Realizes","","13264","13262",""
"13294","RealizationRelationship","Realizes","","13292","13298",""
"13293","RealizationRelationship","Realizes","","13291","13292",""
"13288","RealizationRelationship","Realizes","","13261","13262",""
"13289","RealizationRelationship","Realizes","","13262","13297",""
"13296","RealizationRelationship","Realizes","","13295","13261",""
"5a742dc8","ServingRelationship","","","14236","14223",""
"19166","ServingRelationship","","","14543","10860",""
"9425","ServingRelationship","","","9409","9368",""
"10893","ServingRelationship","","","10856","13806",""
"10984","ServingRelationship","","","10817","10861",""
"10862","ServingRelationship","","","10861","10837",""
"9427","ServingRelationship","","","9410","9408",""
"19205","ServingRelationship","","","10861","10860",""
"14585","ServingRelationship","","","14543","12926",""
"10986","ServingRelationship","","","8659","10861",""
"10895","ServingRelationship","","","10857","13806",""
"10896","ServingRelationship","","","10858","13806",""
"10892","ServingRelationship","","","10860","13806",""
"9428","ServingRelationship","","","9410","9369",""
"7410","ServingRelationship","","","7423","7421",""
"19196","ServingRelationship","","","10861","10835",""
"10894","ServingRelationship","","","10859","13806",""
"6201","ServingRelationship","","","6185","6186",""
"14251","ServingRelationship","","","14248","13806",""
"9426","ServingRelationship","","","9409","9408",""
"10724","ServingRelationship","","","10699","10826",""
"14531","ServingRelationship","","","10695","10827",""
"9424","ServingRelationship","","","6138","9408",""
"18069","ServingRelationship","","","17970","17892",""
"9423","ServingRelationship","","","6141","9410",""
"9407","ServingRelationship","","","9367","9369",""
"6147","ServingRelationship","","","6140","6451",""
"16525","ServingRelationship","","","10672","10997",""
"10708","ServingRelationship","","","10688","10843",""
"10717","ServingRelationship","","","10695","10670",""
"6164","ServingRelationship","","","6140","6449",""
"19466","ServingRelationship","","","8618","10861",""
"9378","ServingRelationship","","","9222","9368",""
"6506","ServingRelationship","","","6405","6189",""
"19398","ServingRelationship","","","14478","8660",""
"10704","ServingRelationship","","","10689","10835",""
"6509","ServingRelationship","","","6454","6175",""
"14495","ServingRelationship","","","14487","10811",""
"16524","ServingRelationship","","","10673","10997",""
"6155","ServingRelationship","","","6140","6455",""
"16478","ServingRelationship","","","10681","10995",""
"10716","ServingRelationship","","","10694","10812",""
"6150","ServingRelationship","","","6140","6454",""
"6552","ServingRelationship","","","6521","6183",""
"10713","ServingRelationship","","","10692","10811",""
"6160","ServingRelationship","","","6141","6521",""
"19372","ServingRelationship","","","8618","8659",""
"6148","ServingRelationship","","","6140","6452",""
"6554","ServingRelationship","","","6523","6185",""
"14232","ServingRelationship","","","14223","14148",""
"6551","ServingRelationship","","","6520","6181",""
"6153","ServingRelationship","","","6140","6458",""
"18711","ServingRelationship","","","17970","14223",""
